General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Uttar Pradesh,Kanpur,Oxygen,Notes: Free,,,26.4750346,80.3532749,Civil Lines Kanpur,"['+919956065858', '+918874593004']"
Uttar Pradesh,Kanpur,Hospital Beds,Notes: 25 Isolation Beds,,Medihealth Hospital,26.4759532,80.3000979,"Model Town, Sarvodaya Nagar, Kanpur",['+919140693177']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Concentrator Available,,,26.4625992,80.3541104,"Birhana Road , Kanpur",['+919984449403']
Uttar Pradesh,Kanpur,Hospital Beds,,,Guru Teg Bahadur Hospital,26.4677506,80.3069603,"120/192(105, Laxmi Ratan Colony, Lajpat Nagar, Narainpurwa,",['+918090678678']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Concentrator Available,True,,26.4626925,80.35432229999999,,['+919984449403']
Uttar Pradesh,Kanpur,Hospital Beds,,True,Lifetron Hospital,26.4831828,80.27635599999999,,['+918601804561']
Uttar Pradesh,Kanpur,Oxygen,,,,26.5382476,80.2328284,"G-37, Upsidc Industrial Area, Jainpur, Kanpur","['+919415040531', '+919506132389']"
Uttar Pradesh,Kanpur,Hospital Beds,Notes: Oxygen Beds,True,Shatabdi Super Speciality Hospital,26.485436,80.324902,,['+919450048007']
Uttar Pradesh,Kanpur,Oxygen,Notes: http://air6.in,True,,26.5123388,80.2329,,['+917007953278']
Uttar Pradesh,Kanpur,Hospital Beds,,True,Sis Hospital And Research Center,26.4842449,80.2559371,,['+919336119188']
Uttar Pradesh,Kanpur,Oxygen,Notes: Portable Oxygen,,,26.4542546,80.3117537,"Govind Nagar Railway Bridge, Fazalganj Industrial Estate, Darshan Purwa, Kanpur",['+919115050975']
Uttar Pradesh,Kanpur,Hospital Beds,Notes: 4 Oxygen Beds,True,Smart Care Hospital,26.4775583,80.3353411,,['+919984766516']
Uttar Pradesh,Kanpur,Oxygen,,,,26.4533864,80.2941488,"154-B, Dada Nagar, Kanpur",['+919335630333']
Uttar Pradesh,Kanpur,Hospital Beds,,True,Rama Devi Medical Center,26.4147611,80.38321429999999,,['+917080902022']
Uttar Pradesh,Kanpur,Oxygen,,True,,25.4313196,81.7902695,,['+919415209499']
Uttar Pradesh,Kanpur,Oxygen,Notes: Ajay Mishra,,,26.449923,80.3318736,Kanpur,['+919415040705']
Uttar Pradesh,Kanpur,Oxygen,,,,26.449923,80.3318736,Kanpur,['+919335732699']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Cylinder Refill,,,26.4704092,80.30285549999999,"Head Office Shop Number 33, Shivaji Nagar",['+919721297978']
Uttar Pradesh,Kanpur,Oxygen,,,,28.4258595,77.5501074,"B-1 Udyog Kunj, Upsidc Industrial Area, Surajpur Site V, Kanpur",['+918953700003']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Cylinder and Refill Available,,,26.440137,80.2814133,"Mig 140, Ratanlal Nagar, Kanpur",['+917860100001']
Uttar Pradesh,Kanpur,Oxygen,Notes: Oxygen Cylinder Refill,,,25.8136736,80.15016630000001,"Bharuwa Sumerpur, Uttar Pradesh 210341",['+919792869369']
Uttar Pradesh,Kanpur,Oxygen,,,,26.4704092,80.30285549999999,"Head Office Shop Number 33, Shivaji Nagar, Kanpur",['+919721297978']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4135201,80.3139297,,['+918787092670']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4774012,80.29497599999999,,['+917309565645']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.5123388,80.2329,,['+919569163262']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4486055,80.2740017,,['+917985096433']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4688841,80.3103806,,['+919839114889']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4704092,80.30285549999999,,['+919721297978']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.526707,79.8296743,,['+919236752114']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.5123388,80.2329,,['+918737026009']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4466614,80.27771390000001,,['+919621895401']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4704651,80.2407399,,['+917210114978']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4491044,80.3245568,,['+919889629140']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.526707,79.8296743,,['+917905081817']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4585074,80.30438819999999,,['+919140301978']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.78579,80.89009,,['+917275478391']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.853705,80.94842,,['+917985121201']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4433709,80.2864862,,['+917860100001']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4486055,80.2740017,,['+917860100001']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4466614,80.27771390000001,,"['+919621895401', '+918953700000']"
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4486055,80.2740017,,['+919839114889']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4466614,80.27771390000001,,['+919621895401']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.853705,80.94842,,"['+917985121201', '+917860143575']"
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4450556,80.29032939999999,,['+917860100001']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4491044,80.3245568,,['+919889629140']
Uttar Pradesh,Kanpur,Oxygen,,True,,26.4585074,80.30438819999999,,['+919140301978']
