General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
Chhattisgarh,Raipur,Hospital Beds,,,Mishra Speciality Hospital,Raipur,['+917714037575']
Chhattisgarh,Raipur,Other,Notes: Blood Collection Service at Home & CT Scan,True,Lal Path Lab,,"['+919827401597', '+919179589006']"
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Gitika Pharmaceuticals,"Shop No. 12-A,Ground & Basement Flrold Medical Complexrajbandha Maidan, Ward No. 36,Raipur,492001",['+919303329640']
Chhattisgarh,Raipur,Oxygen,,True,Choube Colony Trust - Dev Prakash Verma,,['+919425216133']
Chhattisgarh,Raipur,Hospital Beds,,,Ramkrishna,Raipur,['+917716165656']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Jain Medical Stores Raipur,"28,29 New Medical Complexrajbandha Maidanraipur,Raipur,492001",['+918839670706']
Chhattisgarh,Raipur,Hospital Beds,,,Shri Narayana Hospital,Raipur,['+919300373737']
Chhattisgarh,Raipur,Other,,True,Helpline Numbers,,"['+918602270023', '+918602290023', '+918602780023', '+918602920023']"
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Kumar Medicose,"Shop.No.1- Old Medical Complex,G.E.Road,Raipur,Raipur,492001",['+919827110901']
Chhattisgarh,Raipur,Oxygen,Notes: Anil Guggar,,"Terapant Yuvak Parishad, Jain Samaj Aashram Ke Pas",Raipur,['+919827190850']
Chhattisgarh,Raipur,Hospital Beds,,,Sachdev Nursing,Raipur,['+917712223327']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Laxmi Medical Agency,"42-44, Medical Complexg.E. Rdraipur,Raipur,492001",['+919425250777']
Chhattisgarh,Raipur,Oxygen,Notes: Manish Sindhi,,,Raipur,['+919339807096']
Chhattisgarh,Raipur,Hospital Beds,,,Mittal Hospital,Raipur,['+917714014442']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,S.K. Commercial Company,"31, Medical Complex,G.E. Roadraipur,Raipur,492001",[]
Chhattisgarh,Raipur,Oxygen,Notes: Yogesh Bakla,,,Raipur,['+919329578085']
Chhattisgarh,Raipur,Hospital Beds,,,Life Worth Super,Raipur,['+917714065400']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Sadhana Medico Traders,"6,Medical Complex,G.E.Road,Raipur (C.G),Raipur,492001",[]
Chhattisgarh,Raipur,Oxygen,Notes: Vivek Baid,,,Raipur,['+919329908001']
Chhattisgarh,Raipur,Hospital Beds,,,Shri Krishna Hospital,Raipur,['+917714022233']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,United Medical Agency,"34, Medical Complexg.E. Roadraipurraipur,Raipur,492002",[]
Chhattisgarh,Raipur,Oxygen,Notes: Sanjay Duggar,,,Raipur,['+917000202384']
Chhattisgarh,Raipur,Hospital Beds,,,Heritage Hospital,Raipur,['+917716670990']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Jai Medical Agencies,"G.E.Roadshop No.15 Old Medical Complex,Raipur,492001",['+919826901000']
Chhattisgarh,Raipur,Hospital Beds,,,Aashirwad Hospital,Raipur,['+919425208234']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Akruti Pharma,"Shop No 17 , New Medical Complxrajbandha Maidanward No. 56 G.E.Road,Raipur,492001",['+919753699211']
Chhattisgarh,Raipur,Oxygen,Notes: Mahesh Khubchandani,,Raipur Missionary Association,Station Road Raipur,['+919329651553']
Chhattisgarh,Raipur,Hospital Beds,,,Srimaa Sarada,Raipur,['+918871148228']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Khatri Medical And Surgicals,"Shop No.40-41 Ground Basement1St , 2 Nd ,3Rd , 4Th & 5Th Flr,Old Medical Complexg.E.Road Ward No. 36Rajbandha Maidan,Raipur,492001",['+917714025924']
Chhattisgarh,Raipur,Oxygen,Notes: Hansa Chaudhari,,Raipur Missionary Association,Station Road Raipur,['+919406054218']
Chhattisgarh,Raipur,Hospital Beds,,,Kanwar Nursing Home,Raipur,['+917712283991']
Chhattisgarh,Raipur,Medicines,Medicine name: Tocilizumab,,Khatri Medical And Surgicals(Apollo),"Shop No.40-41 Ground Basement1St , 2 Nd ,3Rd , 4Th & 5Th Flr,Old Medical Complexg.E.Road Ward No. 36Rajbandha Maidan,Raipur,492001",['+917714025294']
Chhattisgarh,Raipur,Oxygen,Notes: Harish Gehlot,,Raipur Missionary Association,Station Road Raipur,['+919630800692']
Chhattisgarh,Raipur,Hospital Beds,,,Aayush Hospital,Raipur,['+919826611688']
Chhattisgarh,Raipur,Oxygen,Notes: Deepak Bothara,,Raipur Missionary Association,Station Road Raipur,['+919827871070']
Chhattisgarh,Raipur,Hospital Beds,,,Jubesta Hospital,Raipur,['+917712886310']
Chhattisgarh,Raipur,Oxygen,Notes: Manoj Jain,,Raipur Missionary Association,Station Road Raipur,['+917587202030']
Chhattisgarh,Raipur,Hospital Beds,,,Karma Hospital,Raipur,['+917712511456']
Chhattisgarh,Raipur,Oxygen,Notes: Hemant Totala,,Raipur Missionary Association,Station Road Raipur,['+919303278078']
Chhattisgarh,Raipur,Hospital Beds,,,Subba Rao Hospital,Raipur,['+917712885991']
Chhattisgarh,Raipur,Hospital Beds,,,Sai Baba Nursing,Raipur,['+919329116668']
Chhattisgarh,Raipur,Oxygen,Notes: Pradip Gupta,,"Chhattisgarh Punjabi Sanatan Sabha, Punjab Kesari Bhawan, Jora",Raipur,['+919300227000']
Chhattisgarh,Raipur,Hospital Beds,,,Vidya Hospital,Raipur,['+919329102218']
Chhattisgarh,Raipur,Oxygen,Notes: Ashok Maggu,True,,,['+919425206138']
Chhattisgarh,Raipur,Hospital Beds,,,Chhattisgarh Centre,Raipur,['+917712253690']
Chhattisgarh,Raipur,Oxygen,Notes: Jawahar Khanna,True,,,['+919755555777']
Chhattisgarh,Raipur,Hospital Beds,,,Shri Medishine,Raipur,['+917389936610']
Chhattisgarh,Raipur,Oxygen,Notes: Arun Luthara,True,,,['+919229221977']
Chhattisgarh,Raipur,Hospital Beds,,,Raipur Institute Of Medical Sciences,Raipur,['+917713053089']
Chhattisgarh,Raipur,Hospital Beds,Notes: 150 Beds,,Covid19 Hospital At Ranwabhantha (In Esic Hospital Building),Raipur,"['+919826334404', '+919827136003']"
Chhattisgarh,Raipur,Oxygen,Notes: Ashok Makhija,,"Sindhu Palace, Opposite Bti Ground, Shankar Nagar, Shanti Nagar, Pujya Sindhi Panchayat",Raipur,['+919302288811']
Chhattisgarh,Raipur,Hospital Beds,Notes: Mr. Mohit Sharma,,Balco Medical Centre,Raipur,['+917503958390']
Chhattisgarh,Raipur,Hospital Beds,Notes: Mr Seemant Shrivastava,,Shree Medishine Hospital,Raipur,['+918818887025']
Chhattisgarh,Raipur,Oxygen,Notes: Bhaskar,,"M M Charitable Trust, Godadi Dham Ke Samne, Devpuri, Thourani Pariwar",Raipur,['+919303656143']
Chhattisgarh,Raipur,Hospital Beds,Notes: Shameena Siddiqui,,Suyash Hospital,Raipur,['+919827411716']
Chhattisgarh,Raipur,Oxygen,Notes: Shankar Lal,True,,,['+919827928392']
Chhattisgarh,Raipur,Hospital Beds,Notes: Dr. Ram Pukar Patar,,Shri Balaji Hospital,Raipur,['+919301186686']
Chhattisgarh,Raipur,Hospital Beds,Notes: 95 Oxygen beds available and ventilator support available,True,Esic Private Hospital,,['+917415790434']
Chhattisgarh,Raipur,Oxygen,Notes: Raju Tarwani,,Sindhu Seva Samaj,Raipur,['+919829181000']
Chhattisgarh,Raipur,Oxygen,Notes: Tejendar Singh,,"Sikh Samaj Gurudwara, Station Road",Raipur,['+919827160725']
Chhattisgarh,Raipur,Oxygen,Notes: Manjit Singh Saluja,True,,,['+917000428600']
Chhattisgarh,Raipur,Oxygen,Notes: Deen Dayal Goyal,,"Chhattisgarh Prantiya Agarwal Sangathan, Ashoka Ratna Shankar Nagar",Raipur,['+919826832400']
Chhattisgarh,Raipur,Oxygen,Notes: Keshav Mittal,True,,,['+917354275170']
Chhattisgarh,Raipur,Oxygen,Notes: Manoj Agarwal,True,,,['+919425208850']
Chhattisgarh,Raipur,Oxygen,Notes: Anup Agarwal,True,,,['+919993553197']
Chhattisgarh,Raipur,Oxygen,Notes: Ghanashyam Chaudhari,,"Vishwa Hindu Parishad Chhattisgarh, Near Kali Mata Nagar Garage, Pandari",Raipur,['+919826123695']
Chhattisgarh,Raipur,Oxygen,Notes: Rishi Mishra,True,,,['+919826116773']
Chhattisgarh,Raipur,Oxygen,Notes: Manoj Kothari,True,,,['+917415011111']
Chhattisgarh,Raipur,Oxygen,Notes: Udit Narayan Upadhyay,True,,,['+917447053401']
Chhattisgarh,Raipur,Oxygen,,,Guru Teg Bahadur Nagar Gurudwara,Raipur,['+916261742266']
Chhattisgarh,Raipur,Oxygen,,,"Seva Bharti, Vidhya Bharti'S Shishu Mandir School",Raipur,['+919300856314']
Chhattisgarh,Raipur,Oxygen,,,Ricky Chawla,Raipur,['+919993455551']
Chhattisgarh,Raipur,Oxygen,,,Mm Charitable Trust,Raipur,['+919303656143']
Chhattisgarh,Raipur,Oxygen,,,Manendragarh Gurudwara,Raipur,['+919425581222']
Chhattisgarh,Raipur,Oxygen,,,Raipur Dasmesh Seva Devendra Nagar,Raipur,['+919302361581']
Chhattisgarh,Raipur,Oxygen,,,Raipur Pandri Gurudwara,Raipur,['+919300492290']
Chhattisgarh,Raipur,Oxygen,,,Raipur Tatibandh Gurudwara,Raipur,['+919827860006']
Chhattisgarh,Raipur,Oxygen,,,Raipur Baba Saheb Gurudwara,Raipur,['+916267783236']
Chhattisgarh,Raipur,Oxygen,,,Raipur Hirapur Gurudwara,Raipur,['+917415883434']
Chhattisgarh,Raipur,Oxygen,,,,Mahasamunde,['+919425204547']
Chhattisgarh,Raipur,Oxygen,,,,Durg,['+919827190500']
